AutorIn;Titel;Untertitel;Verlag;Mitwirkende;Preis;Erscheinungsjahr;ISBN;Altersempfehlung;Inhaltsbeschreibung;Informationen;Einband;Seitenzahl;Abmessungen;Cover;"Cover DNB";"Cover KNV"
"Davies, Benji";"Nick und der Sommer mit Oma";;Aladin;"Übersetzung: Hohnhold, Johanna";"14,95 €";2019;978-3-8489-0165-4;"ab 4 Jahren";"Das neue Bilderbuch vom Illustrator von ""Nick und der Wal"", für Kinder ab 4 Jahren. Nick verbringt den Sommer bei seiner Oma, die auf einem Felsen mitten im Meer lebt. Nick findet Oma etwas sonderbar. Nie hat sie Zeit zum Spielen. Doch als ein Sturm aufzieht und Nick ihre Hilfe braucht, ist sie sofort zur Stelle! Eine gemeinsame Rettungsaktion schweißt die beiden zusammen.";;gebunden;32;"25,2cm x 28,6cm";nick-und-der-sommer-mit-oma.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8489-0165-4;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73578165&kennwort=RHNSGOQDJWCLME&variante=zoom&rang=01
"Isermeyer, Jörg";"Ene, mene, Eierkuchen";;"Atlantis, Orell Füssli";"Illustration: Napp, Daniel";"9,95 €";2019;978-3-7152-0763-6;"ab 2 Jahren";"Eichhorn hat alles zurechtgelegt und legt los beim Eierkuchenbacken. Doch wo sind jetzt die Eier? Wo steckt das Mehl? "" Eier, Eier, seid so lieb macht doch einmal Piep!"" Die Zutaten melden sich, der Teig wird fertig. Dass der Eierkuchen (in bester Slapstick-Tradition) auf dem Kopf des Eichhorns landet, mindert nicht seinen Genuss - direkt vom Scheitel in den Mund.";Auflage.;Pappband;18;"16,6cm x 16,8cm";ene-mene-eierkuchen.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-7152-0763-6;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74793335&kennwort=TKOGILBOKTEMQG&variante=zoom&rang=01
"Janisch, Heinz";"Die zweite Arche";;"Atlantis, Orell Füssli";"Illustration: Binder, Hannes";"14,95 €";2019;978-3-7152-0761-2;"ab 4 Jahren";"Eine Arche für die Vergessenen, eine Rettung bis ins Heute.. Außer Atem steht Alef am Ufer. Er sieht gerade noch, wie Noahs Arche am Horizont verschwindet. Alef ist nicht der einzige, der immer wieder vergessen wird. Dem Einhorn, den Zentauren, dem Drachen und anderen Fabelwesen ergeht es nicht anders. "" Wir brauchen eine zweite Arche"", sagt Alef. Alle bauen mit, jeder auf seine Weise. Die Fahrt dauert lange. Als das Wasser abfließt, landet die Arche im Heute, mitten in der Stadt. Die Fabelwesen zerstreuen sich in alle Windrichtungen, und Alef geht unter die Menschen. Sie alle werden immer da sein, in der Mitte und am Rand, sichtbar und unsichtbar.";"Mit zahlreichen bunten Bildern.";gebunden;32;"19,8cm x 26,6cm";die-zweite-arche.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-7152-0761-2;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74793313&kennwort=OEELODHKRCEJVA&variante=zoom&rang=01
"John, Jory";"Roberta & Henry";;Carlsen;"Übersetzung: Steinhöfel, Andreas. Illustration: Smith, Lane";"15,00 €";2019;978-3-551-51944-3;"von 4 bis 8 Jahren";"Giraffe Roberta ist unglücklich. Ihr Hals macht sie fertig. Er ist zu lang, zu biegsam, zu scheckig ... Sie wünscht sich einen ganz normalen Hals und versucht alles, um von ihrem Problem abzulenken.Eine humorvolle Geschichte über eine Giraffe, die am Ende erkennt, welche Vorteile so ein langer Hals haben kann. Denn nicht zuletzt beschert er ihr eine wunderbare Freundschaft.";"Mit zahlreichen bunten Bildern.";gebunden;40;"22,2cm x 28,8cm";roberta-henry.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-51944-3;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75261737&kennwort=TKOGILBOKTEMQG&variante=zoom&rang=01
"Lee, Suzy";Welle;Bilderbuch;"360 Grad";"Illustration: Lee, Suzy";"6,00 €";2019;978-3-96185-540-7;"von 5 bis 99 Jahren";"Suzy Lee hat mit diesem außergewöhnlichen Bilderbuch ein Meisterwerk geschaffen - nun gibt es diesen modernen Klassiker auch erstmals als handliches Minibuch! Mit hinreißenden Illustrationen - eine Bilderbuchgeschichte, poetisch und ganz ohne Wörter! Einfühlsam erzählt Suzy Lee mit wunderbarer Farbgestaltung von einem Mädchen und deren Verhältnis zum Meer, von der Kraft der Natur und dem Spiel mit den Wellen.""Suzy Lee versteht es meisterhaft, mit nur ganz wenigen Mitteln das Maximum zu erreichen ... auf schlichtweg herzerwärmende Weise ... "" Sylke Wilmer-Gruchmann (kinderbuch-couch.de)";;gebunden;44;"13,2cm x 21,7cm";welle.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-96185-540-7;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75717190&kennwort=TKOFILBOKTEMQG&variante=zoom&rang=01
"Pauli, Lorenz";"Alles war See";;"Atlantis, Orell Füssli";"Illustration: Bougaeva, Sonja";"14,95 €";2019;978-3-7152-0762-9;"ab 4 Jahren";"Wenn alles anders kommt, heißt es: neu planen!. Die Frau und der Mann sind neugierig und erfindungsreich. Zum Glück!Zuerst stellen die beiden nur fest: Den Blumenkohl kann man bei diesem Regen nicht pflanzen. Dann wird das Unwetter immer heftiger, der See steigt. Das Haus braucht Räder, später wird daraus ein Wohnschiff. Doch auch wenn das Wasser bedrohlich nahe kommt, Hoffnung gibt es immer. Sie lässt sich sogar übers weite Wasser retten. Irgendwann scheint wieder die Sonne. Da ist Land, da ist Musik, da ist Lachen, da ist ein neuer Anfang.";;gebunden;32;"22,8cm x 31,6cm";alles-war-see.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-7152-0762-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74793324&kennwort=SJOCKMPFSOHIQE&variante=zoom&rang=01
"Reinländer, Jens";"Wieso machen A und O zwei Köche froh?";"Die fabelhafte Entdeckung der Buchstaben";"360 Grad";"Illustration: Messina, Lilli";"13,00 €";2019;978-3-96185-801-9;"von 5 bis 11 Jahren";"Woher kommen eigentlich die Buchstaben? Diese Frage stellen sich viele Kinder. In diesem Buch wird sie augenzwinkernd und spielerisch fantasievoll beantwortet. Nämlich so: Zwei Könige verjagen ihre Köche. Sie sind enttäuscht! Der eine kocht nur Suppen - das ganze Volk ist spindeldürr. Der andere zaubert nur fette 3-Gänge-Menüs - das ganze Volk ist dick und rund. Als die verstoßenen Köche sich treffen, haben sie die rettende Idee: Sie können doch einfach ihre Rezepte tauschen. Wie aber sollen sie sich all die Zutaten merken? Es entstehen Bilder. Dann Zeichen. Dann Buchstaben. Die Schrift ist erfunden ...- Fantasievolle, augenzwinkernd-lustige Geschichte über die Entstehung der Schrift.";"Komplett illustriert.";gebunden;86;"18,5cm x 23,2cm";wieso-machen-a-und-o-zwei-koeche-froh.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-96185-801-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75717271&kennwort=LOKFNNEHMQDKLN&variante=zoom&rang=01
"Schulmeyer, Heribert";"Alwina und Nelli";;"Atlantis, Orell Füssli";;"14,95 €";2019;978-3-7152-0758-2;"ab 4 Jahren";"Eine Freundschaft wie eine Sommerbrise, luftig, leicht und ... unvergesslich schön!. Ein Illustrator fährt ans Meer. Er skizziert, fantasiert, malt ... und aus seinen Zeichenblättern wächst eine Urlaubsgeschichte. Die geht so:Eine Frau fährt ans Meer. Statt im Hotel landet sie in einer Pension. Hier trifft sie auf ein Kind. Nelli ist schon einige Tage da, sie zeigt Alwina die schönsten Plätze. Die beiden verstehen sich und genießen jeden Tag zusammen. Doch Alwina muss irgendwann wieder abreisen. Das ist traurig für Nelli ... und doch tragen beide ihr Ferienglück mit sich.";;gebunden;48;"22,6cm x 30,2cm";alwina-und-nelli.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-7152-0758-2;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74793302&kennwort=NOKFNNEHMQDKLN&variante=zoom&rang=01
"Walden, Libby";"Das ist Eule";"Ein Buch zum Mitmachen - Zum Klopfen, Tippen, Winken und Entdecken!. Bilderbuch";"360 Grad";"Übersetzung: Kiesel, TextDoc. Illustration: Lee, Jacqui";"14,00 €";2019;978-3-96185-520-9;"von 3 bis 6 Jahren";"""Wir werden hier gleich etwas ganz BESONDERES erleben. Blättere um, und ich stelle dir jemanden vor ... Das ist ... Eule? Hallo, Eule! Wach auf! Eule, du kannst hier nicht schlafen ... so geht das nicht, wir wollten das Buch anders beginnen! Komm, hilf! Kitzle Eule am Bauch, damit sie aufwacht. Nein, Eule, du musst beide Augen öffnen. Los jetzt, alle wartenschon ...""So geht's los, aber dann wird es so richtig verblüffend - Dieses einmalige Bilderbuch weckt die Fantasie. Die Kinder fliegen mit Eule und sind mittendrin in Abenteuern. Der humorvolle und wunderbar verspielte Text begeistert Kinder, und die eindrucksvoll-plakativen Illustrationen machen die Geschichte zu einem ganz besonderen Vorlese-, Mitmach- und Bilderbuch!";;gebunden;48;"20cm x 29cm";das-ist-eule.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-96185-520-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75717258&kennwort=WMPFSOHIQEKPDK&variante=zoom&rang=01
"Welsh, Clare Helen";"Mit Opa ist alles anders";Bilderbuch;"360 Grad";"Übersetzung: Kiesel, TextDoc. Illustration: Lindsay, Ashley";"14,00 €";2019;978-3-96185-517-9;"von 3 bis 8 Jahren";"Opa ist der Beste. Mit ihm macht alles so viel Spaß. Doch Opa erinnert sich an viele Dinge nicht mehr so wie früher. Aber ich hab ihn so lieb wie immer. Und ich weiß, dass er mich auch lieb hat. Ein Buch über die Familie, Veränderungen im Leben, Gemeinsamkeit und das Lachen. Eine herzergreifende Geschichte, die Kindern hilft, geliebte Menschen zu verstehen, die an Demenz erkrankt sind.- Bilderbuch zum Thema Demenz bzw. Alzheimer-Erkrankung.- Wichtiges Thema in vielen Familien.- Ideale, kindgerechte Grundlage für Gespräche!";;gebunden;32;"25,2cm x 29cm";mit-opa-ist-alles-anders.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-96185-517-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75717203&kennwort=PPHHORGKNTFHMY&variante=zoom&rang=01
"Birdsall, Jeanne";"Die Penderwicks im Glück";;Carlsen;"Übersetzung: Hachmeister, Sylke";"15,00 €";2019;978-3-551-55763-6;"von 11 bis 99 Jahren";"Endlich geht die Geschichte der Penderwick-Geschwister weiter.. Es ist wieder Sommer auf Arundel und alle Penderwicks sind zusammengekommen, um Rosalinds Hochzeit zu feiern. Aber bevor es soweit ist, müssen noch die Kleider fertig genäht, ein Film mit Schafen und Außerirdischen gedreht und vor allem muss Mrs Tifton vom Grundstück verjagt werden. Doch wer die Penderwicks kennt, weiß, dass solche Kleinigkeiten sie nicht aus der Ruhe bringen können. Und am Ende wartet auf alle ein rauschendes Fest.. Ein warmherziges, liebevolles Kinderbuch, das ganz eindeutig das Zeug zu einem Klassiker hat.";;gebunden;320;;die-penderwicks-im-glueck.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-55763-6;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75128674&kennwort=OEELODHMOCEJVA&variante=zoom&rang=01
"Fleming, Anne";"Ziegen bringen Glück";;Carlsen;"Übersetzung: Herzke, Ingo. Illustration: Waechter, Philip";"10,99 €";2019;978-3-551-55382-9;"von 10 bis 99 Jahren";"Als die 11-jährige Kid mit ihren Eltern nach New York kommt, um auf den Hund eines Verwandten aufzupassen, bemerkt sie auf dem Dach des Hochhauses etwas, das aussieht wie eine kleine weiße Wolke. Man munkelt, dass dort oben eine Bergziege leben soll. Aber kann das wirklich sein? Gemeinsam mit dem gleichaltrigen Will macht Kid sich auf die Suche und sammelt bei den faszinierenden wie schrulligen Hausbewohnern nach Hinweisen - denn demjenigen, der die Ziege sieht, winken sieben Jahre Glück!";;gebunden;160;"15,2cm x 21cm";ziegen-bringen-glueck.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-55382-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75262488&kennwort=YPNKEGPELRILCG&variante=zoom&rang=01
"Kinney, Jeff";"Gregs Tagebuch - So ein Mist!";"Ein Comic-Roman";"Baumhaus Medien";"Übersetzung: Schmidt, Dietmar";"9,00 €";2019;978-3-8432-1106-2;"ab 10 Jahren";"Greg ist entsetzt, als seine Mom für die ganze Stadt ein elektronikfreies Wochenende organisieren will. Zwei Tage ohne Handy, Fernsehen und Computerspiele? Stattdessen gemeinsames Saubermachen im Park, Nachmittage in der freien Natur und ein altmodischer Limonadenstand? So ein Mist!, findet Greg und hat schon bei dem Gedanken daran die Nase voll. Dabei ist das erst der Anfang seiner Probleme, denn die Klassenfahrt zur Schweiß-und-Fleiß-Farm steht an .... Gregs Tagebuch ist eine der erfolgreichsten Kinderbuchreihen der Welt. Die humorvollen Comics um Greg Heffley besitzen mittlerweile Kultstatus.";"Erstauflage, mit Comics.";kartoniert;224;"12,5cm x 18,7cm";gregs-tagebuch-so-ein-mist.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8432-1106-2;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74197494&kennwort=FLBOKTEMQGLRDJ&variante=zoom&rang=01
"Letterie, Martine";"Kinder mit Stern";;Carlsen;"Übersetzung: Kluitmann, Andrea. Illustration: Völk, Julie";"11,00 €";2019;978-3-551-55762-9;"von 10 bis 14 Jahren";"""So ein Quatsch, dass ihr nicht in den Zoo dürft!"", hatte Lies gesagt. ""Ich gehe mit Rosa dahin, wenn sie Geburtstag hat. Davon hält mich keiner ab!"". Rosa liebt den Zoo. Die Giraffen mit ihrem weichen Fell und den schönen Augen mag sie besonders gern. Und Jules will eigentlich bloß mit der Straßenbahn zu seinem besten Freund fahren, so wie immer.Doch auf einmal dürfen sie das nicht mehr. Denn es ist 1940 und nach dem Überfall der Deutschen auf die Niederlande wird das Leben jüdischer Kinder und ihrer Familien von Tag zu Tag schwieriger. Aber Rosa und Jules, Klaartje, Leo, Ruth und Bennie, von denen in diesem Buch erzählt wird, erleben nicht nur Schrecken und Leid, sondern trotz allem auch Momente voller Glück und Zusammenhalt.. Ein wichtiges Buch gegen das Vergessen.";"Mit farbigen Illustrationen.";gebunden;128;"15,2cm x 21cm";kinder-mit-stern.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-55762-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75260708&kennwort=SFINRGHMODPKSC&variante=zoom&rang=01
